0,0,0.5
0,0,-0.5
0.216942,0,0.450484
0.390916,0,0.311745
0.487464,0,0.11126
0.487464,0,-0.11126
0.390916,0,-0.311745
0.216942,0,-0.450484
0.153401,0.153401,0.450484
0.276419,0.276419,0.311745
0.344689,0.344689,0.11126
0.344689,0.344689,-0.11126
0.276419,0.276419,-0.311745
0.153401,0.153401,-0.450484
1.32839e-17,0.216942,0.450484
2.39367e-17,0.390916,0.311745
2.98486e-17,0.487464,0.11126
2.98486e-17,0.487464,-0.11126
2.39367e-17,0.390916,-0.311745
1.32839e-17,0.216942,-0.450484
-0.153401,0.153401,0.450484
-0.276419,0.276419,0.311745
-0.344689,0.344689,0.11126
-0.344689,0.344689,-0.11126
-0.276419,0.276419,-0.311745
-0.153401,0.153401,-0.450484
-0.216942,2.65677e-17,0.450484
-0.390916,4.78734e-17,0.311745
-0.487464,5.96971e-17,0.11126
-0.487464,5.96971e-17,-0.11126
-0.390916,4.78734e-17,-0.311745
-0.216942,2.65677e-17,-0.450484
-0.153401,-0.153401,0.450484
-0.276419,-0.276419,0.311745
-0.344689,-0.344689,0.11126
-0.344689,-0.344689,-0.11126
-0.276419,-0.276419,-0.311745
-0.153401,-0.153401,-0.450484
-3.98516e-17,-0.216942,0.450484
-7.18101e-17,-0.390916,0.311745
-8.95457e-17,-0.487464,0.11126
-8.95457e-17,-0.487464,-0.11126
-7.18101e-17,-0.390916,-0.311745
-3.98516e-17,-0.216942,-0.450484
0.153401,-0.153401,0.450484
0.276419,-0.276419,0.311745
0.344689,-0.344689,0.11126
0.344689,-0.344689,-0.11126
0.276419,-0.276419,-0.311745
0.153401,-0.153401,-0.450484
